339.89	0.00
340.27	260.00
340.65	258.00
341.03	263.00
341.41	266.00
341.79	286.00
342.18	269.00
342.56	271.00
342.94	270.00
343.32	280.00
343.70	272.00
344.08	273.00
344.46	275.00
344.84	272.00
345.22	271.00
345.60	273.00
345.98	314.00
346.36	267.00
346.74	277.00
347.12	276.00
347.50	306.00
347.89	270.00
348.27	264.00
348.65	272.00
349.03	272.00
349.41	274.00
349.79	278.00
350.17	286.00
350.55	299.00
350.93	301.00
351.31	303.00
351.69	305.00
352.07	298.00
352.45	296.00
352.83	296.00
353.21	301.00
353.59	308.00
353.97	302.00
354.35	290.00
354.72	294.00
355.10	299.00
355.48	295.00
355.86	293.00
356.24	293.00
356.62	292.00
357.00	332.00
357.38	298.00
357.76	297.00
358.14	299.00
358.52	289.00
358.90	301.00
359.28	285.00
359.66	290.00
360.04	289.00
360.41	294.00
360.79	291.00
361.17	295.00
361.55	288.00
361.93	295.00
362.31	291.00
362.69	295.00
363.07	299.00
363.45	353.00
363.82	292.00
364.20	282.00
364.58	289.00
364.96	298.00
365.34	298.00
365.72	286.00
366.10	288.00
366.47	287.00
366.85	300.00
367.23	293.00
367.61	297.00
367.99	295.00
368.37	293.00
368.74	287.00
369.12	292.00
369.50	288.00
369.88	345.00
370.26	332.00
370.64	292.00
371.01	288.00
371.39	295.00
371.77	295.00
372.15	295.00
372.52	290.00
372.90	292.00
373.28	306.00
373.66	290.00
374.04	289.00
374.41	295.00
374.79	335.00
375.17	285.00
375.55	289.00
375.92	302.00
376.30	294.00
376.68	286.00
377.06	292.00
377.43	301.00
377.81	289.00
378.19	285.00
378.56	292.00
378.94	285.00
379.32	288.00
379.70	290.00
380.07	294.00
380.45	296.00
380.83	289.00
381.20	292.00
381.58	289.00
381.96	317.00
382.33	293.00
382.71	291.00
383.09	294.00
383.46	292.00
383.84	294.00
384.22	295.00
384.59	291.00
384.97	290.00
385.35	289.00
385.72	295.00
386.10	295.00
386.48	300.00
386.85	293.00
387.23	297.00
387.60	295.00
387.98	295.00
388.36	290.00
388.73	291.00
389.11	294.00
389.49	289.00
389.86	292.00
390.24	325.00
390.61	301.00
390.99	313.00
391.36	293.00
391.74	289.00
392.12	289.00
392.49	296.00
392.87	290.00
393.24	295.00
393.62	293.00
393.99	296.00
394.37	293.00
394.75	292.00
395.12	291.00
395.50	289.00
395.87	296.00
396.25	296.00
396.62	304.00
397.00	300.00
